day_no,sous chef-1,head chef-1,line cook-1,sous chef-2,line cook-2,line cook-3,line cook-4,line cook-5,line cook-6,line cook-7,line cook-8,line cook-9,line cook-10,line cook-11,line cook-12
1,08:00-16:00,08:00-16:00,,,,11:00-17:00,16:00-23:00,,16:00-23:00,,17:00-23:59,17:00-23:59,08:00-16:00,11:00-17:00,16:00-23:00
2,08:00-16:00,08:00-16:00,,,11:00-17:00,11:00-17:00,16:00-23:00,,16:00-23:00,,17:00-23:59,17:00-23:59,,08:00-16:00,16:00-23:00
3,08:00-16:00,08:00-16:00,08:00-16:00,11:00-17:00,11:00-17:00,,16:00-23:00,16:00-23:00,,17:00-23:59,17:00-23:59,,,,16:00-23:00
4,08:00-16:00,,08:00-16:00,11:00-17:00,11:00-17:00,,16:00-23:00,16:00-23:00,,17:00-23:59,17:00-23:59,,08:00-16:00,,16:00-23:00
5,08:00-16:00,,08:00-16:00,11:00-17:00,11:00-17:00,16:00-23:00,16:00-23:00,16:00-23:00,,17:00-23:59,,17:00-23:59,08:00-16:00,,
6,,08:00-16:00,08:00-16:00,11:00-17:00,,11:00-17:00,,16:00-23:00,16:00-23:00,17:00-23:59,,17:00-23:59,08:00-16:00,16:00-23:00,
7,,08:00-16:00,08:00-16:00,,,11:00-17:00,,16:00-23:00,16:00-23:00,16:00-23:00,17:00-23:59,17:00-23:59,08:00-16:00,11:00-17:00,
8,16:00-23:00,11:00-17:00,,,17:00-23:59,16:00-23:00,08:00-16:00,08:00-16:00,,,11:00-17:00,08:00-16:00,,17:00-23:59,16:00-23:00
9,16:00-23:00,11:00-17:00,,,17:00-23:59,16:00-23:00,08:00-16:00,,,,08:00-16:00,08:00-16:00,11:00-17:00,17:00-23:59,16:00-23:00
10,16:00-23:00,,17:00-23:59,16:00-23:00,17:00-23:59,,08:00-16:00,,08:00-16:00,11:00-17:00,,08:00-16:00,11:00-17:00,,16:00-23:00
11,16:00-23:00,,17:00-23:59,16:00-23:00,17:00-23:59,,08:00-16:00,08:00-16:00,08:00-16:00,11:00-17:00,,,11:00-17:00,,16:00-23:00
12,16:00-23:00,16:00-23:00,17:00-23:59,16:00-23:00,,,08:00-16:00,08:00-16:00,08:00-16:00,11:00-17:00,,,11:00-17:00,17:00-23:59,
13,,11:00-17:00,17:00-23:59,16:00-23:00,,16:00-23:00,,08:00-16:00,08:00-16:00,11:00-17:00,16:00-23:00,08:00-16:00,,17:00-23:59,
14,,11:00-17:00,16:00-23:00,16:00-23:00,17:00-23:59,16:00-23:00,,08:00-16:00,08:00-16:00,,11:00-17:00,08:00-16:00,,17:00-23:59,
15,,,,08:00-16:00,08:00-16:00,,11:00-17:00,,16:00-23:00,08:00-16:00,11:00-17:00,17:00-23:59,16:00-23:00,17:00-23:59,16:00-23:00
16,11:00-17:00,,,08:00-16:00,,,08:00-16:00,,16:00-23:00,08:00-16:00,11:00-17:00,17:00-23:59,16:00-23:00,17:00-23:59,16:00-23:00
17,11:00-17:00,17:00-23:59,11:00-17:00,08:00-16:00,,08:00-16:00,,16:00-23:00,,08:00-16:00,,,16:00-23:00,17:00-23:59,16:00-23:00
18,11:00-17:00,17:00-23:59,11:00-17:00,08:00-16:00,08:00-16:00,08:00-16:00,,16:00-23:00,,,,,16:00-23:00,17:00-23:59,16:00-23:00
19,11:00-17:00,17:00-23:59,11:00-17:00,08:00-16:00,08:00-16:00,08:00-16:00,,16:00-23:00,,,16:00-23:00,17:00-23:59,,,16:00-23:00
20,,17:00-23:59,11:00-17:00,,08:00-16:00,08:00-16:00,16:00-23:00,16:00-23:00,16:00-23:00,08:00-16:00,11:00-17:00,17:00-23:59,,,
21,,16:00-23:00,,,08:00-16:00,08:00-16:00,11:00-17:00,16:00-23:00,16:00-23:00,08:00-16:00,11:00-17:00,17:00-23:59,,17:00-23:59,
