employee_id,experience_years
1,1
2,8
3,2
4,2
5,4
6,5
7,7
8,2
9,5
10,3
11,1
12,1
13,1
14,8
15,9
16,8
17,9
240,2
19,4
239,4
238,5
237,7
236,2
235,5
234,3
233,1
232,1
231,1
230,8
228,9
31,4
32,5
33,4
34,6
35,2
36,4
37,1
38,5
39,3
40,3
41,11
42,15
43,2
44,4
45,5
46,2
47,4
210,4
49,5
209,2
208,4
207,1
206,5
205,3
204,3
203,11
202,15
201,2
200,4
198,5
61,2
62,3
63,7
64,9
65,2
66,5
67,3
68,1
69,1
70,1
71,8
72,9
73,4
74,2
75,4
76,3
77,3
180,7
79,2
179,2
178,5
177,3
176,1
175,1
174,1
173,8
172,9
171,4
170,2
168,4
91,4
92,6
93,1
94,5
95,5
96,3
97,3
98,11
99,2
100,4
101,5
102,7
103,2
104,5
105,3
106,4
107,5
150,1
109,7
149,5
148,3
147,3
146,11
145,2
144,4
143,5
142,7
141,2
140,5
138,3
121,1
122,7
123,1
124,2
125,1
126,1
127,8
128,9
129,4
130,2
131,2
132,4
133,5
134,7
135,2
136,2
137,5
120,1
139,3
119,1
118,1
117,8
116,9
115,4
114,2
113,2
112,4
111,5
110,7
108,2
151,7
152,11
153,5
154,1
155,3
156,1
157,1
158,1
159,8
160,9
161,4
162,2
163,4
164,1
165,5
166,4
167,2
90,5
169,4
89,3
88,1
87,1
86,1
85,8
84,9
83,4
82,2
81,4
80,1
78,5
181,3
182,9
183,2
184,6
185,4
186,5
187,7
188,2
189,5
190,3
191,1
192,1
193,1
194,8
195,9
196,5
197,3
60,2
199,3
59,4
58,5
57,7
56,2
55,5
54,3
53,1
52,1
51,1
50,8
48,9
211,7
212,1
213,4
214,11
215,2
216,4
217,1
218,5
219,3
220,3
221,11
222,2
223,5
224,3
225,1
226,2
227,10
30,4
229,6
29,2
28,4
27,1
26,5
25,3
24,3
23,11
22,2
21,5
20,3
18,1
