ingredient,price
flour,0.60
water,0.00
yeast,5.00
salt,0.40
olive oil,8.50
canned tomatoes,2.00
garlic,4.00
oregano,20.00
basil,30.00
mozzarella,7.00
nduja,20.00
pecorino,25.00
parmesan,30.00
garlic oil,10.00
dried chili,25.00
parsley,12.00
tuna,15.00
onion,1.00
capers,20.00
grated lemon zest,15.00
provolone,15.00
black pepper,20.00
mushrooms,5.00
ham,10.00
guanciale,20.00
napoli salami,20.00
garlic puree,6.00
pickled pumpkin,8.00
chili,15.00
gorgonzola,20.00
yellow cherry tomatoes,10.00
red cherry tomatoes,10.00
pesto,20.00
cherry tomatoes,10.00
lemon zest,15.00
rice,2.00
octopus,25.00
breadcrumbs,3.00
eggs,3.00
oil,8.00
taleggio,20.00
peas,2.00
burrata,20.00
pickled grapes,15.00
pine nuts,50.00
basil mayonnaise,12.00
beef fillet,25.00
horseradish,12.00
lemon,2.00
sun-dried tomatoes,20.00
sugar,1.00
mascarpone,10.00
espresso,20.00
cocoa powder,15.00
baking powder,5.00
vanilla extract,150.00
coffee liqueur,20.00
chocolate,15.00
milk,1.00
cream,5.00
vanilla,150.00
strawberries,5.00
pistachios,40.00
mango,4.00
lemons,2.00
butter,5.00
amaretto,25.00
raisins,4.00
raspberries,10.00
plums,3.00
cashew nuts,20.00
peanuts,3.00
walnuts,15.00
coconut oil,10.00
almond flour,20.00
powdered sugar,1.50
