product_name,ingredient,amount
marinara,flour,200
marinara,water,120
marinara,yeast,2
marinara,salt,3
marinara,olive oil,10
marinara,canned tomatoes,80
marinara,garlic,5
marinara,oregano,2
marinara,basil,3
marinara,olive oil,5
diavola,flour,200
diavola,water,120
diavola,yeast,2
diavola,salt,3
diavola,olive oil,10
diavola,canned tomatoes,80
diavola,mozzarella,100
diavola,nduja,50
diavola,pecorino,10
diavola,parmesan,10
diavola,basil,3
diavola,olive oil,5
aglio olio e peperoncino,flour,200
aglio olio e peperoncino,water,120
aglio olio e peperoncino,yeast,2
aglio olio e peperoncino,salt,3
aglio olio e peperoncino,olive oil,10
aglio olio e peperoncino,mozzarella,100
aglio olio e peperoncino,garlic,10
aglio olio e peperoncino,garlic oil,5
aglio olio e peperoncino,dried chili,2
aglio olio e peperoncino,pecorino,10
aglio olio e peperoncino,parmesan,10
aglio olio e peperoncino,parsley,3
tonnarella,flour,200
tonnarella,water,120
tonnarella,yeast,2
tonnarella,salt,3
tonnarella,olive oil,10
tonnarella,mozzarella,100
tonnarella,tuna,80
tonnarella,onion,30
tonnarella,basil,3
tonnarella,capers,10
tonnarella,grated lemon zest,5
tonnarella,olive oil,5
margherita,flour,200
margherita,water,120
margherita,yeast,2
margherita,salt,3
margherita,olive oil,10
margherita,canned tomatoes,80
margherita,mozzarella,100
margherita,pecorino,10
margherita,parmesan,10
margherita,basil,3
margherita,olive oil,5
provola e pepe,flour,200
provola e pepe,water,120
provola e pepe,yeast,2
provola e pepe,salt,3
provola e pepe,olive oil,10
provola e pepe,canned tomatoes,80
provola e pepe,provolone,100
provola e pepe,pecorino,10
provola e pepe,parmesan,10
provola e pepe,black pepper,2
provola e pepe,basil,3
provola e pepe,olive oil,5
prosciutto e funghi,flour,200
prosciutto e funghi,water,120
prosciutto e funghi,yeast,2
prosciutto e funghi,salt,3
prosciutto e funghi,olive oil,10
prosciutto e funghi,canned tomatoes,80
prosciutto e funghi,mozzarella,100
prosciutto e funghi,mushrooms,50
