product_name,category,popular
marinara,pizza,7
diavola,pizza,9
aglio olio e peperoncino,pizza,8
tonnarella,pizza,6
margherita,pizza,10
provola e pepe,pizza,7
prosciutto e funghi,pizza,8
cacio e pepe,pizza,9
con salame,pizza,10
strega,pizza,7
mona lisa,pizza,6
insalata caprese,appetiser,10
octopus arancini,appetiser,7
cheese and peas arancini,appetiser,8
burrata with grapes & basil,appetiser,9
beef carpaccio,appetiser,8
tiramisu della mamma,dessert,8
chocolate gelato,dessert,9
vanilla gelato,dessert,7
strawberry gelato,dessert,8
pistachio gelato,dessert,9
mango gelato,dessert,8
lemon gelato,dessert,6
zeppole,dessert,7
caprese vanilla & raspberry,dessert,9
plum-nut raw cake,dessert,6
