product_name,price,category
marinara,13.90,pizza
diavola,18.90,pizza
aglio olio e peperoncino,18.90,pizza
tonnarella,19.90,pizza
margherita,15.90,pizza
provola e pepe,18.90,pizza
prosciutto e funghi,19.90,pizza
cacio e pepe,19.90,pizza
con salame,18.90,pizza
strega,17.90,pizza
mona lisa,19.90,pizza
insalata caprese,13.90,appetiser
octopus arancini,6.90,appetiser
cheese and peas arancini,6.90,appetiser
burrata with grapes & basil,9.90,appetiser
beef carpaccio,7.90,appetiser
tiramisu della mamma,8.90,dessert
chocolate gelato,6.90,dessert
vanilla gelato,6.90,dessert
strawberry gelato,6.90,dessert
pistachio gelato,6.90,dessert
mango gelato,6.90,dessert
lemon gelato,6.90,dessert
zeppole,4.90,dessert
caprese vanilla & raspberry,7.90,dessert
plum-nut raw cake,5.90,dessert
