day_no,host-1,host-2,waiter-1,host-3,waiter-2,waiter-3,waiter-4,waiter-5,waiter-6,waiter-7,waiter-8,waiter-9,waiter-10,waiter-11,waiter-12
1,10:00-17:00,10:00-17:00,,,,11:00-17:00,17:00-23:00,,17:00-23:00,,17:00-23:59,17:00-23:59,10:00-17:00,11:00-17:00,17:00-23:00
2,10:00-17:00,10:00-17:00,,,11:00-17:00,11:00-17:00,17:00-23:00,,17:00-23:00,,17:00-23:59,17:00-23:59,,10:00-17:00,17:00-23:00
3,10:00-17:00,10:00-17:00,10:00-17:00,11:00-17:00,11:00-17:00,,17:00-23:00,17:00-23:00,,17:00-23:59,17:00-23:59,,,,17:00-23:00
4,10:00-17:00,,10:00-17:00,11:00-17:00,11:00-17:00,,17:00-23:00,17:00-23:00,,17:00-23:59,17:00-23:59,,10:00-17:00,,17:00-23:00
5,10:00-17:00,,10:00-17:00,11:00-17:00,11:00-17:00,17:00-23:00,17:00-23:00,17:00-23:00,,17:00-23:59,,17:00-23:59,10:00-17:00,,
6,,10:00-17:00,10:00-17:00,11:00-17:00,,11:00-17:00,,17:00-23:00,17:00-23:00,17:00-23:59,,17:00-23:59,10:00-17:00,17:00-23:00,
7,,10:00-17:00,10:00-17:00,,,11:00-17:00,,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:59,17:00-23:59,10:00-17:00,11:00-17:00,
8,17:00-23:00,11:00-17:00,,,17:00-23:59,17:00-23:00,10:00-17:00,10:00-17:00,,,11:00-17:00,10:00-17:00,,17:00-23:59,17:00-23:00
9,17:00-23:00,11:00-17:00,,,17:00-23:59,17:00-23:00,10:00-17:00,,,,10:00-17:00,10:00-17:00,11:00-17:00,17:00-23:59,17:00-23:00
10,17:00-23:00,,17:00-23:59,17:00-23:00,17:00-23:59,,10:00-17:00,,10:00-17:00,11:00-17:00,,10:00-17:00,11:00-17:00,,17:00-23:00
11,17:00-23:00,,17:00-23:59,17:00-23:00,17:00-23:59,,10:00-17:00,10:00-17:00,10:00-17:00,11:00-17:00,,,11:00-17:00,,17:00-23:00
12,17:00-23:00,17:00-23:00,17:00-23:59,17:00-23:00,,,10:00-17:00,10:00-17:00,10:00-17:00,11:00-17:00,,,11:00-17:00,17:00-23:59,
13,,11:00-17:00,17:00-23:59,17:00-23:00,,17:00-23:00,,10:00-17:00,10:00-17:00,11:00-17:00,17:00-23:00,10:00-17:00,,17:00-23:59,
14,,11:00-17:00,17:00-23:00,17:00-23:00,17:00-23:59,17:00-23:00,,10:00-17:00,10:00-17:00,,11:00-17:00,10:00-17:00,,17:00-23:59,
15,,,,10:00-17:00,10:00-17:00,,11:00-17:00,,17:00-23:00,10:00-17:00,11:00-17:00,17:00-23:59,17:00-23:00,17:00-23:59,17:00-23:00
16,11:00-17:00,,,10:00-17:00,,,10:00-17:00,,17:00-23:00,10:00-17:00,11:00-17:00,17:00-23:59,17:00-23:00,17:00-23:59,17:00-23:00
17,11:00-17:00,17:00-23:59,11:00-17:00,10:00-17:00,,10:00-17:00,,17:00-23:00,,10:00-17:00,,,17:00-23:00,17:00-23:59,17:00-23:00
18,11:00-17:00,17:00-23:59,11:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,,17:00-23:00,,,,,17:00-23:00,17:00-23:59,17:00-23:00
19,11:00-17:00,17:00-23:59,11:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,,17:00-23:00,,,17:00-23:00,17:00-23:59,,,17:00-23:00
20,,17:00-23:59,11:00-17:00,,10:00-17:00,10:00-17:00,17:00-23:00,17:00-23:00,17:00-23:00,10:00-17:00,11:00-17:00,17:00-23:59,,,
21,,17:00-23:00,,,10:00-17:00,10:00-17:00,11:00-17:00,17:00-23:00,17:00-23:00,10:00-17:00,11:00-17:00,17:00-23:59,,17:00-23:59,
