order_no,product_name,amount
0051737,beef carpaccio,1
0051737,burrata with grapes & basil,1
0051737,caprese vanilla & raspberry,1
0051737,cheese and peas arancini,1
0051737,con salame,3
0051737,diavola,1
0051737,lemon gelato,1
0051737,margherita,2
0051737,plum-nut raw cake,1
0051737,strawberry gelato,2
0051738,diavola,1
0051739,marinara,1
0051739,strega,1
0051740,burrata with grapes & basil,1
0051740,plum-nut raw cake,1
0051740,prosciutto e funghi,1
0051740,tonnarella,1
0051741,chocolate gelato,1
0051741,margherita,1
0051742,caprese vanilla & raspberry,1
0051742,lemon gelato,2
0051742,margherita,1
0051742,mona lisa,1
0051742,prosciutto e funghi,1
0051742,tonnarella,1
0051742,zeppole,1
0051743,caprese vanilla & raspberry,1
0051743,margherita,1
0051743,prosciutto e funghi,1
0051744,aglio olio e peperoncino,1
0051744,burrata with grapes & basil,1
0051744,con salame,2
0051744,insalata caprese,1
0051744,margherita,1
0051744,marinara,1
0051744,provola e pepe,1
0051744,tiramisu della mamma,1
0051745,cheese and peas arancini,1
0051745,con salame,1
0051745,diavola,1
0051745,insalata caprese,1
0051746,aglio olio e peperoncino,1
0051746,beef carpaccio,1
0051746,con salame,2
0051746,diavola,1
0051746,tiramisu della mamma,1
0051747,burrata with grapes & basil,2
0051747,chocolate gelato,1
0051747,margherita,1
0051747,marinara,1
0051747,strawberry gelato,1
0051747,strega,1
0051748,beef carpaccio,2
0051748,cacio e pepe,1
0051748,cheese and peas arancini,1
0051748,con salame,1
0051748,margherita,1
0051748,mona lisa,1
0051748,octopus arancini,1
0051748,prosciutto e funghi,1
0051748,strawberry gelato,1
0051749,aglio olio e peperoncino,1
0051749,chocolate gelato,1
0051750,beef carpaccio,2
0051750,con salame,1
0051750,mango gelato,1
0051750,margherita,1
0051750,octopus arancini,1
0051750,provola e pepe,2
0051750,vanilla gelato,1
0051751,cacio e pepe,1
0051751,con salame,1
0051751,strawberry gelato,1
0051751,tiramisu della mamma,1
0051751,tonnarella,1
0051751,vanilla gelato,1
0051752,beef carpaccio,1
0051752,cacio e pepe,1
0051752,con salame,2
0051752,insalata caprese,2
0051752,margherita,1
0051752,marinara,1
0051752,mona lisa,1
0051752,strawberry gelato,1
0051752,tiramisu della mamma,1
0051752,vanilla gelato,1
0051752,zeppole,1
0051753,diavola,1
0051754,con salame,1
0051754,pistachio gelato,1
0051755,aglio olio e peperoncino,1
0051755,burrata with grapes & basil,1
0051755,cheese and peas arancini,2
0051755,chocolate gelato,2
0051755,con salame,1
0051755,diavola,2
0051755,insalata caprese,1
0051755,mango gelato,1
0051755,octopus arancini,1
0051755,pistachio gelato,2
0051755,prosciutto e funghi,2
0051755,zeppole,1
0051756,burrata with grapes & basil,1
0051756,prosciutto e funghi,1
0051757,aglio olio e peperoncino,1
0051757,caprese vanilla & raspberry,1
0051758,insalata caprese,1
0051758,lemon gelato,1
0051758,margherita,1
0051758,marinara,1
0051758,prosciutto e funghi,1
0051758,provola e pepe,1
0051758,tiramisu della mamma,1
0051758,vanilla gelato,1
0051759,aglio olio e peperoncino,2
0051759,cacio e pepe,1
0051759,diavola,1
0051759,margherita,1
0051759,octopus arancini,1
0051759,tonnarella,1
0051760,burrata with grapes & basil,1
0051760,caprese vanilla & raspberry,1
0051760,con salame,1
0051760,insalata caprese,1
0051760,mona lisa,1
0051760,octopus arancini,1
0051760,tonnarella,1
0051761,burrata with grapes & basil,2
0051761,caprese vanilla & raspberry,1
0051761,con salame,1
0051761,insalata caprese,1
0051761,marinara,1
0051761,mona lisa,1
0051761,octopus arancini,2
0051761,strawberry gelato,1
0051761,tiramisu della mamma,1
0051761,tonnarella,2
0051761,vanilla gelato,1
0051762,con salame,1
0051762,diavola,2
0051762,pistachio gelato,1
0051762,plum-nut raw cake,1
0051762,prosciutto e funghi,1
0051762,tonnarella,2
0051762,zeppole,3
0051763,aglio olio e peperoncino,1
0051763,cacio e pepe,2
0051763,insalata caprese,1
0051763,octopus arancini,1
0051763,strawberry gelato,1
0051763,tonnarella,1
0051764,burrata with grapes & basil,1
0051764,con salame,1
0051764,mango gelato,1
0051764,prosciutto e funghi,1
0051765,aglio olio e peperoncino,1
0051765,burrata with grapes & basil,1
0051765,con salame,1
0051765,pistachio gelato,1
0051765,provola e pepe,1
0051765,tonnarella,1
0051766,cacio e pepe,1
0051766,cheese and peas arancini,1
0051766,diavola,2
0051766,octopus arancini,1
0051766,strega,1
0051767,caprese vanilla & raspberry,1
0051767,prosciutto e funghi,2
0051768,insalata caprese,1
0051768,margherita,1
0051769,aglio olio e peperoncino,2
0051770,burrata with grapes & basil,1
0051770,margherita,2
0051770,prosciutto e funghi,1
0051771,aglio olio e peperoncino,1
0051771,beef carpaccio,1
0051771,cacio e pepe,1
0051771,strawberry gelato,1
0051772,beef carpaccio,2
0051772,burrata with grapes & basil,1
0051772,insalata caprese,1
0051772,margherita,4
0051772,prosciutto e funghi,2
0051773,aglio olio e peperoncino,1
0051773,margherita,1
0051774,aglio olio e peperoncino,1
0051774,caprese vanilla & raspberry,1
0051774,cheese and peas arancini,1
0051774,diavola,3
0051774,margherita,1
0051774,marinara,1
0051774,octopus arancini,1
0051774,pistachio gelato,1
0051774,strawberry gelato,2
0051774,vanilla gelato,2
0051775,aglio olio e peperoncino,1
0051775,burrata with grapes & basil,1
0051775,diavola,2
0051775,insalata caprese,1
0051775,prosciutto e funghi,1
0051775,strega,1
0051775,tonnarella,1
0051776,aglio olio e peperoncino,1
0051776,mango gelato,1
0051777,aglio olio e peperoncino,2
0051777,burrata with grapes & basil,2
0051777,con salame,1
0051777,insalata caprese,1
0051777,mona lisa,1
0051777,octopus arancini,1
0051777,prosciutto e funghi,1
0051777,provola e pepe,1
0051778,aglio olio e peperoncino,1
0051778,beef carpaccio,1
0051778,burrata with grapes & basil,1
0051778,cheese and peas arancini,2
0051778,insalata caprese,1
0051778,margherita,2
0051778,mona lisa,1
0051778,prosciutto e funghi,1
0051779,cacio e pepe,1
0051779,strawberry gelato,1
0051780,insalata caprese,1
0051780,margherita,1
0051780,marinara,1
0051780,provola e pepe,2
