order_no,product_name,amount
0181840,aglio olio e peperoncino,1
0181840,cacio e pepe,1
0181840,cheese and peas arancini,2
0181840,chocolate gelato,1
0181840,con salame,1
0181840,insalata caprese,1
0181840,mango gelato,1
0181840,tonnarella,1
0181841,cheese and peas arancini,1
0181841,con salame,1
0181841,insalata caprese,1
0181841,margherita,1
0181841,marinara,1
0181841,plum-nut raw cake,1
0181841,prosciutto e funghi,1
0181841,tiramisu della mamma,1
0181842,beef carpaccio,1
0181842,cacio e pepe,2
0181842,insalata caprese,1
0181842,plum-nut raw cake,1
0181842,strawberry gelato,1
0181843,cacio e pepe,1
0181843,marinara,1
0181843,pistachio gelato,1
0181843,strega,1
0181843,zeppole,1
0181844,beef carpaccio,1
0181844,cacio e pepe,1
0181844,cheese and peas arancini,1
0181844,chocolate gelato,1
0181844,con salame,1
0181844,margherita,1
0181844,mona lisa,1
0181844,prosciutto e funghi,1
0181845,cacio e pepe,1
0181845,con salame,1
0181845,margherita,1
0181845,marinara,1
0181845,mona lisa,1
0181845,pistachio gelato,1
0181845,strawberry gelato,1
0181845,strega,1
0181846,con salame,1
0181846,diavola,1
0181846,marinara,1
0181846,octopus arancini,1
0181847,cacio e pepe,1
0181847,caprese vanilla & raspberry,1
0181847,mona lisa,1
0181847,prosciutto e funghi,2
0181847,strega,1
0181848,caprese vanilla & raspberry,1
0181848,cheese and peas arancini,1
0181848,margherita,1
0181848,prosciutto e funghi,1
0181848,strega,2
0181848,tonnarella,2
0181848,vanilla gelato,1
0181849,aglio olio e peperoncino,1
0181849,cheese and peas arancini,1
0181849,diavola,1
0181850,aglio olio e peperoncino,3
0181850,caprese vanilla & raspberry,1
0181850,cheese and peas arancini,1
0181850,chocolate gelato,1
0181850,mango gelato,1
0181850,prosciutto e funghi,1
0181850,provola e pepe,1
0181850,strawberry gelato,1
0181851,margherita,1
0181851,marinara,1
0181851,strega,1
0181851,tonnarella,1
0181852,beef carpaccio,1
0181852,cacio e pepe,2
0181852,caprese vanilla & raspberry,1
0181852,chocolate gelato,1
0181852,con salame,2
0181852,diavola,2
0181852,lemon gelato,1
0181852,octopus arancini,2
0181852,strawberry gelato,1
0181852,vanilla gelato,2
0181853,burrata with grapes & basil,2
0181853,cacio e pepe,1
0181853,caprese vanilla & raspberry,1
0181853,cheese and peas arancini,1
0181853,chocolate gelato,1
0181853,con salame,2
0181853,diavola,1
0181853,insalata caprese,1
0181853,marinara,1
0181853,octopus arancini,1
0181853,tiramisu della mamma,1
0181853,tonnarella,1
0181853,vanilla gelato,1
0181853,zeppole,2
0181854,aglio olio e peperoncino,1
0181854,cacio e pepe,1
0181854,cheese and peas arancini,2
0181854,con salame,2
0181854,insalata caprese,2
0181854,margherita,1
0181854,provola e pepe,1
0181854,vanilla gelato,2
0181854,zeppole,2
0181855,aglio olio e peperoncino,1
0181855,cacio e pepe,1
0181855,chocolate gelato,1
0181855,diavola,1
0181855,margherita,1
0181855,plum-nut raw cake,1
0181855,tiramisu della mamma,1
0181856,aglio olio e peperoncino,1
0181856,lemon gelato,1
0181857,aglio olio e peperoncino,1
0181857,cacio e pepe,2
0181857,con salame,1
0181857,mango gelato,1
0181857,marinara,1
0181857,pistachio gelato,1
0181858,burrata with grapes & basil,1
0181858,cacio e pepe,1
0181858,caprese vanilla & raspberry,2
0181858,con salame,1
0181858,insalata caprese,2
