order_no,product_name,amount
0077518,insalata caprese,1
0077518,strawberry gelato,1
0077518,strega,1
0077519,cheese and peas arancini,2
0077519,provola e pepe,2
0077520,burrata with grapes & basil,1
0077520,marinara,1
0077520,provola e pepe,1
0077520,tiramisu della mamma,1
0077521,marinara,1
0077521,tonnarella,1
0077522,aglio olio e peperoncino,1
0077522,beef carpaccio,2
0077522,burrata with grapes & basil,1
0077522,plum-nut raw cake,2
0077522,prosciutto e funghi,2
0077522,provola e pepe,1
0077522,strega,1
0077522,vanilla gelato,2
0077523,caprese vanilla & raspberry,1
0077523,con salame,1
0077523,mango gelato,1
0077523,mona lisa,1
0077523,pistachio gelato,1
0077523,plum-nut raw cake,1
0077523,provola e pepe,1
0077523,strega,1
0077523,tonnarella,1
0077523,vanilla gelato,1
0077524,beef carpaccio,1
0077524,caprese vanilla & raspberry,1
0077524,cheese and peas arancini,1
0077524,con salame,2
0077524,lemon gelato,1
0077524,octopus arancini,1
0077524,provola e pepe,1
0077524,strega,2
0077525,aglio olio e peperoncino,1
0077525,cacio e pepe,1
0077525,cheese and peas arancini,1
0077525,chocolate gelato,1
0077525,lemon gelato,1
0077525,margherita,2
0077525,plum-nut raw cake,3
0077525,strega,1
0077525,tonnarella,1
0077526,marinara,1
0077527,cheese and peas arancini,1
0077527,marinara,1
0077528,burrata with grapes & basil,2
0077528,chocolate gelato,1
0077528,con salame,1
0077528,insalata caprese,3
0077528,margherita,3
0077528,marinara,2
0077528,plum-nut raw cake,1
0077528,zeppole,2
0077529,diavola,1
0077529,insalata caprese,1
0077529,octopus arancini,1
0077529,provola e pepe,1
0077530,strega,1
0077531,cacio e pepe,1
0077531,caprese vanilla & raspberry,1
0077531,con salame,1
0077531,lemon gelato,1
0077531,strawberry gelato,1
0077531,strega,1
0077531,tonnarella,1
0077531,vanilla gelato,1
0077532,aglio olio e peperoncino,1
0077532,cacio e pepe,1
0077532,margherita,1
0077533,burrata with grapes & basil,1
0077533,con salame,1
0077533,margherita,1
0077533,marinara,1
0077533,octopus arancini,1
0077533,provola e pepe,1
0077534,aglio olio e peperoncino,1
0077534,con salame,2
0077534,diavola,1
0077534,lemon gelato,2
0077534,mango gelato,1
0077534,provola e pepe,1
0077534,strawberry gelato,1
0077535,mango gelato,1
0077535,octopus arancini,1
0077535,provola e pepe,2
0077535,tiramisu della mamma,1
0077536,beef carpaccio,1
0077536,chocolate gelato,1
0077536,con salame,1
0077536,diavola,1
0077536,insalata caprese,2
0077536,margherita,1
0077536,octopus arancini,1
0077536,strawberry gelato,1
0077536,tonnarella,1
0077536,zeppole,2
0077537,aglio olio e peperoncino,1
0077537,beef carpaccio,1
0077537,cheese and peas arancini,1
0077537,diavola,1
0077537,insalata caprese,2
0077537,mango gelato,1
0077537,margherita,2
0077537,pistachio gelato,1
0077537,strawberry gelato,1
0077537,strega,1
0077537,tonnarella,1
0077537,vanilla gelato,1
0077537,zeppole,1
0077538,aglio olio e peperoncino,1
0077538,burrata with grapes & basil,1
0077538,con salame,1
0077539,chocolate gelato,1
0077539,mona lisa,1
0077539,strega,1
0077540,aglio olio e peperoncino,1
0077540,cacio e pepe,1
0077540,con salame,1
0077540,lemon gelato,1
0077540,mango gelato,1
0077540,vanilla gelato,1
0077541,aglio olio e peperoncino,1
0077541,cacio e pepe,1
0077541,provola e pepe,1
0077542,beef carpaccio,1
0077542,diavola,1
0077543,burrata with grapes & basil,1
0077543,caprese vanilla & raspberry,1
0077543,con salame,1
0077543,insalata caprese,1
0077543,lemon gelato,1
0077543,mona lisa,1
0077544,aglio olio e peperoncino,1
0077544,beef carpaccio,1
0077544,diavola,1
0077544,insalata caprese,1
0077544,lemon gelato,1
0077544,mango gelato,1
0077544,octopus arancini,1
0077544,plum-nut raw cake,1
0077544,strega,1
0077544,tonnarella,1
0077545,aglio olio e peperoncino,1
0077545,cacio e pepe,1
0077545,insalata caprese,1
0077545,vanilla gelato,1
0077546,aglio olio e peperoncino,1
0077546,beef carpaccio,1
0077546,burrata with grapes & basil,1
0077546,cacio e pepe,1
0077546,caprese vanilla & raspberry,1
0077546,diavola,1
0077546,margherita,1
0077546,provola e pepe,1
0077546,strawberry gelato,1
0077546,tiramisu della mamma,1
0077546,tonnarella,1
0077546,vanilla gelato,1
0077546,zeppole,2
0077547,cacio e pepe,1
0077547,lemon gelato,1
0077547,mona lisa,1
0077547,octopus arancini,1
0077547,prosciutto e funghi,1
0077547,strawberry gelato,1
0077548,insalata caprese,1
0077548,margherita,1
0077549,aglio olio e peperoncino,1
0077549,beef carpaccio,1
0077549,mango gelato,1
0077549,prosciutto e funghi,1
0077549,vanilla gelato,1
0077550,aglio olio e peperoncino,1
0077550,burrata with grapes & basil,2
0077550,cacio e pepe,1
0077550,caprese vanilla & raspberry,1
0077550,cheese and peas arancini,1
0077550,chocolate gelato,1
0077550,diavola,1
0077550,insalata caprese,2
0077550,mango gelato,2
0077550,prosciutto e funghi,2
0077550,provola e pepe,1
0077550,vanilla gelato,1
0077551,burrata with grapes & basil,1
0077551,cacio e pepe,1
0077551,caprese vanilla & raspberry,2
0077551,insalata caprese,2
0077551,mango gelato,1
0077551,marinara,1
0077551,octopus arancini,2
0077551,plum-nut raw cake,2
0077551,prosciutto e funghi,1
0077551,provola e pepe,1
0077551,strega,2
0077551,zeppole,1
0077552,aglio olio e peperoncino,2
0077552,lemon gelato,1
0077552,margherita,2
0077552,provola e pepe,1
0077553,aglio olio e peperoncino,1
0077553,burrata with grapes & basil,1
0077553,cacio e pepe,1
0077553,diavola,1
0077553,insalata caprese,1
0077553,mona lisa,1
0077553,strega,2
0077554,diavola,1
0077555,chocolate gelato,1
0077555,diavola,1
0077555,insalata caprese,1
0077555,margherita,1
0077555,mona lisa,1
0077556,aglio olio e peperoncino,2
0077556,beef carpaccio,1
0077556,burrata with grapes & basil,1
0077556,cacio e pepe,1
0077556,caprese vanilla & raspberry,2
0077556,diavola,1
0077556,marinara,1
0077556,mona lisa,1
0077556,strawberry gelato,1
0077556,tiramisu della mamma,1
0077557,burrata with grapes & basil,1
0077557,cacio e pepe,1
0077557,con salame,1
0077557,margherita,1
0077557,marinara,1
0077557,prosciutto e funghi,1
0077557,strega,1
0077558,beef carpaccio,1
0077558,marinara,1
0077558,mona lisa,1
0077558,octopus arancini,1
0077559,aglio olio e peperoncino,2
0077559,cacio e pepe,1
0077559,margherita,1
0077559,plum-nut raw cake,1
0077559,tonnarella,1
0077560,aglio olio e peperoncino,1
0077560,burrata with grapes & basil,1
0077561,aglio olio e peperoncino,1
0077561,burrata with grapes & basil,1
0077561,diavola,1
0077561,insalata caprese,1
0077561,mona lisa,1
0077561,zeppole,1
0077562,burrata with grapes & basil,1
0077562,cacio e pepe,2
0077562,diavola,1
0077562,insalata caprese,1
0077562,octopus arancini,2
0077562,provola e pepe,1
