order_no,product_name,amount
0129922,beef carpaccio,1
0129922,cheese and peas arancini,1
0129922,con salame,2
0129922,insalata caprese,1
0129922,mango gelato,1
0129922,mona lisa,1
0129922,octopus arancini,1
0129922,strawberry gelato,1
0129922,tonnarella,1
0129923,beef carpaccio,1
0129923,diavola,1
0129923,margherita,1
0129923,marinara,1
0129923,mona lisa,1
0129923,octopus arancini,1
0129923,strega,1
0129924,insalata caprese,1
0129924,margherita,1
0129924,marinara,3
0129924,prosciutto e funghi,1
0129924,provola e pepe,1
0129924,zeppole,2
0129925,aglio olio e peperoncino,1
0129925,burrata with grapes & basil,1
0129925,insalata caprese,2
0129925,mango gelato,1
0129925,marinara,1
0129925,plum-nut raw cake,1
0129925,prosciutto e funghi,1
0129926,burrata with grapes & basil,1
0129926,diavola,3
0129926,insalata caprese,1
0129926,marinara,1
0129926,octopus arancini,2
0129926,prosciutto e funghi,2
0129927,cacio e pepe,1
0129928,aglio olio e peperoncino,1
0129928,beef carpaccio,1
0129928,cacio e pepe,1
0129928,cheese and peas arancini,1
0129928,insalata caprese,1
0129928,tonnarella,1
0129929,cacio e pepe,1
0129929,cheese and peas arancini,2
0129929,chocolate gelato,1
0129929,diavola,1
0129929,margherita,1
0129929,plum-nut raw cake,1
0129929,prosciutto e funghi,1
0129929,strega,1
0129930,burrata with grapes & basil,1
0129930,cheese and peas arancini,1
0129930,con salame,1
0129930,strega,1
0129931,aglio olio e peperoncino,1
0129931,burrata with grapes & basil,1
0129931,cheese and peas arancini,1
0129931,insalata caprese,1
0129931,prosciutto e funghi,1
0129931,provola e pepe,2
0129931,strega,2
0129931,tiramisu della mamma,3
0129932,beef carpaccio,1
0129932,burrata with grapes & basil,1
0129932,cacio e pepe,2
0129932,cheese and peas arancini,1
0129932,chocolate gelato,1
0129932,con salame,1
0129932,pistachio gelato,1
0129932,zeppole,1
0129933,aglio olio e peperoncino,1
0129933,chocolate gelato,1
0129933,con salame,1
0129933,diavola,1
0129933,lemon gelato,1
0129933,margherita,1
0129933,strega,1
0129934,burrata with grapes & basil,1
0129934,cacio e pepe,1
0129934,cheese and peas arancini,1
0129934,chocolate gelato,1
