timestamp,order_no,takeaway,restaurant_id
2023-01-01 11:20,0025778,dine-in,HKI002
2023-01-01 11:21,0025779,dine-in,HKI002
2023-01-01 11:37,0025780,dine-in,HKI002
2023-01-01 11:38,0025781,dine-in,HKI002
2023-01-01 11:43,0025782,dine-in,HKI002
2023-01-01 11:52,0025783,dine-in,HKI002
2023-01-01 12:25,0025784,dine-in,HKI002
2023-01-01 12:28,0025785,Foodora,HKI002
2023-01-01 12:39,0025786,dine-in,HKI002
2023-01-01 12:44,0025787,UberEats,HKI002
2023-01-01 13:37,0025788,dine-in,HKI002
2023-01-01 15:40,0025789,dine-in,HKI002
2023-01-01 15:56,0025790,dine-in,HKI002
2023-01-01 16:03,0025791,dine-in,HKI002
2023-01-01 16:32,0025792,dine-in,HKI002
2023-01-01 16:53,0025793,Wolt,HKI002
2023-01-01 17:48,0025794,dine-in,HKI002
2023-01-01 17:52,0025795,dine-in,HKI002
2023-01-01 18:16,0025796,dine-in,HKI002
2023-01-01 18:27,0025797,dine-in,HKI002
2023-01-01 18:31,0025798,Foodora,HKI002
2023-01-01 18:34,0025799,dine-in,HKI002
2023-01-01 18:38,0025800,dine-in,HKI002
2023-01-01 18:40,0025801,dine-in,HKI002
2023-01-01 18:43,0025802,dine-in,HKI002
2023-01-01 19:10,0025803,dine-in,HKI002
2023-01-01 19:28,0025804,dine-in,HKI002
2023-01-01 19:38,0025805,dine-in,HKI002
2023-01-01 19:56,0025806,UberEats,HKI002
2023-01-01 20:16,0025807,dine-in,HKI002
2023-01-01 20:31,0025808,dine-in,HKI002
2023-01-01 20:47,0025809,dine-in,HKI002
2023-01-01 20:56,0025810,dine-in,HKI002
2023-01-01 21:09,0025811,dine-in,HKI002
2023-01-01 21:11,0025812,Wolt,HKI002
2023-01-01 21:34,0025813,dine-in,HKI002
2023-01-01 21:57,0025814,dine-in,HKI002
2023-01-01 22:27,0025815,dine-in,HKI002
2023-01-01 22:46,0025816,Foodora,HKI002
2023-01-01 22:54,0025817,dine-in,HKI002
2023-01-02 11:02,0025818,dine-in,HKI002
2023-01-02 11:14,0025819,dine-in,HKI002
2023-01-02 11:20,0025820,dine-in,HKI002
2023-01-02 11:45,0025821,dine-in,HKI002
2023-01-02 11:51,0025822,dine-in,HKI002
2023-01-02 12:12,0025823,dine-in,HKI002
2023-01-02 12:19,0025824,Foodora,HKI002
2023-01-02 12:34,0025825,dine-in,HKI002
2023-01-02 12:36,0025826,dine-in,HKI002
2023-01-02 12:39,0025827,dine-in,HKI002
2023-01-02 12:49,0025828,dine-in,HKI002
2023-01-02 12:58,0025829,dine-in,HKI002
2023-01-02 13:47,0025830,dine-in,HKI002
2023-01-02 14:26,0025831,dine-in,HKI002
2023-01-02 14:41,0025832,dine-in,HKI002
2023-01-02 14:51,0025833,dine-in,HKI002
2023-01-02 15:47,0025834,dine-in,HKI002
2023-01-02 16:08,0025835,dine-in,HKI002
2023-01-02 16:55,0025836,dine-in,HKI002
2023-01-02 16:56,0025837,UberEats,HKI002
2023-01-02 17:50,0025838,dine-in,HKI002
2023-01-02 18:06,0025839,dine-in,HKI002
2023-01-02 18:17,0025840,dine-in,HKI002
2023-01-02 18:23,0025841,dine-in,HKI002
2023-01-02 18:24,0025842,dine-in,HKI002
2023-01-02 18:25,0025843,dine-in,HKI002
2023-01-02 18:34,0025844,dine-in,HKI002
2023-01-02 18:37,0025845,dine-in,HKI002
2023-01-02 18:47,0025846,dine-in,HKI002
2023-01-02 19:20,0025847,dine-in,HKI002
2023-01-02 19:25,0025848,dine-in,HKI002
2023-01-02 19:29,0025849,UberEats,HKI002
2023-01-02 19:30,0025850,dine-in,HKI002
2023-01-02 19:36,0025851,UberEats,HKI002
2023-01-02 20:07,0025852,dine-in,HKI002
2023-01-02 20:28,0025853,dine-in,HKI002
2023-01-02 20:37,0025854,dine-in,HKI002
2023-01-02 20:46,0025855,Foodora,HKI002
2023-01-02 21:00,0025856,dine-in,HKI002
2023-01-02 21:05,0025857,dine-in,HKI002
2023-01-02 21:17,0025858,dine-in,HKI002
2023-01-02 21:26,0025859,dine-in,HKI002
2023-01-02 21:53,0025860,dine-in,HKI002
2023-01-02 21:55,0025861,dine-in,HKI002
2023-01-02 22:05,0025862,dine-in,HKI002
2023-01-02 22:37,0025863,Foodora,HKI002
2023-01-02 22:59,0025864,dine-in,HKI002
2023-01-03 11:03,0025865,dine-in,HKI002
2023-01-03 11:05,0025866,dine-in,HKI002
2023-01-03 11:16,0025867,UberEats,HKI002
2023-01-03 11:26,0025868,dine-in,HKI002
2023-01-03 11:27,0025869,dine-in,HKI002
2023-01-03 11:31,0025870,Foodora,HKI002
2023-01-03 11:35,0025871,dine-in,HKI002
2023-01-03 12:03,0025872,dine-in,HKI002
2023-01-03 12:03,0025873,dine-in,HKI002
2023-01-03 12:32,0025874,dine-in,HKI002
2023-01-03 12:35,0025875,dine-in,HKI002
2023-01-03 12:46,0025876,UberEats,HKI002
2023-01-03 12:51,0025877,dine-in,HKI002
2023-01-03 12:52,0025878,dine-in,HKI002
2023-01-03 13:27,0025879,dine-in,HKI002
2023-01-03 13:46,0025880,dine-in,HKI002
2023-01-03 15:17,0025881,dine-in,HKI002
2023-01-03 15:27,0025882,dine-in,HKI002
2023-01-03 15:37,0025883,dine-in,HKI002
2023-01-03 15:47,0025884,dine-in,HKI002
2023-01-03 16:24,0025885,dine-in,HKI002
2023-01-03 16:35,0025886,dine-in,HKI002
2023-01-03 16:55,0025887,UberEats,HKI002
2023-01-03 16:57,0025888,dine-in,HKI002
2023-01-03 17:25,0025889,dine-in,HKI002
2023-01-03 18:12,0025890,dine-in,HKI002
2023-01-03 18:42,0025891,Wolt,HKI002
2023-01-03 18:57,0025892,dine-in,HKI002
2023-01-03 19:07,0025893,dine-in,HKI002
2023-01-03 19:16,0025894,dine-in,HKI002
2023-01-03 19:21,0025895,dine-in,HKI002
2023-01-03 19:26,0025896,dine-in,HKI002
2023-01-03 19:31,0025897,dine-in,HKI002
2023-01-03 19:32,0025898,dine-in,HKI002
2023-01-03 19:34,0025899,dine-in,HKI002
2023-01-03 19:39,0025900,dine-in,HKI002
2023-01-03 19:46,0025901,UberEats,HKI002
2023-01-03 19:59,0025902,UberEats,HKI002
2023-01-03 20:06,0025903,dine-in,HKI002
2023-01-03 20:19,0025904,dine-in,HKI002
2023-01-03 20:34,0025905,dine-in,HKI002
2023-01-03 20:53,0025906,Foodora,HKI002
2023-01-03 21:01,0025907,dine-in,HKI002
2023-01-03 21:12,0025908,UberEats,HKI002
2023-01-03 21:23,0025909,dine-in,HKI002
2023-01-03 21:34,0025910,dine-in,HKI002
2023-01-03 21:40,0025911,dine-in,HKI002
2023-01-03 22:11,0025912,dine-in,HKI002
2023-01-03 22:11,0025913,dine-in,HKI002
2023-01-03 22:33,0025914,UberEats,HKI002
2023-01-03 22:36,0025915,Wolt,HKI002
2023-01-03 22:41,0025916,dine-in,HKI002
2023-01-03 22:44,0025917,dine-in,HKI002
2023-01-03 22:45,0025918,dine-in,HKI002
2023-01-03 22:57,0025919,dine-in,HKI002
2023-01-03 22:58,0025920,dine-in,HKI002
2023-01-04 11:01,0025921,dine-in,HKI002
2023-01-04 11:01,0025922,dine-in,HKI002
2023-01-04 11:20,0025923,dine-in,HKI002
2023-01-04 11:24,0025924,dine-in,HKI002
2023-01-04 11:34,0025925,dine-in,HKI002
2023-01-04 11:36,0025926,dine-in,HKI002
2023-01-04 11:39,0025927,dine-in,HKI002
2023-01-04 11:50,0025928,dine-in,HKI002
2023-01-04 11:54,0025929,Wolt,HKI002
2023-01-04 12:03,0025930,dine-in,HKI002
2023-01-04 12:11,0025931,dine-in,HKI002
2023-01-04 12:29,0025932,dine-in,HKI002
2023-01-04 12:46,0025933,dine-in,HKI002
2023-01-04 12:48,0025934,dine-in,HKI002
2023-01-04 12:49,0025935,dine-in,HKI002
2023-01-04 12:55,0025936,dine-in,HKI002
2023-01-04 13:03,0025937,Foodora,HKI002
2023-01-04 13:17,0025938,dine-in,HKI002
2023-01-04 13:18,0025939,dine-in,HKI002
2023-01-04 13:42,0025940,dine-in,HKI002
2023-01-04 13:58,0025941,dine-in,HKI002
2023-01-04 14:04,0025942,UberEats,HKI002
2023-01-04 14:38,0025943,dine-in,HKI002
2023-01-04 14:45,0025944,Foodora,HKI002
2023-01-04 15:34,0025945,UberEats,HKI002
2023-01-04 15:48,0025946,dine-in,HKI002
2023-01-04 17:10,0025947,dine-in,HKI002
2023-01-04 17:22,0025948,dine-in,HKI002
2023-01-04 17:45,0025949,dine-in,HKI002
2023-01-04 18:06,0025950,dine-in,HKI002
2023-01-04 18:23,0025951,UberEats,HKI002
2023-01-04 18:24,0025952,dine-in,HKI002
2023-01-04 18:59,0025953,dine-in,HKI002
2023-01-04 19:05,0025954,dine-in,HKI002
2023-01-04 19:17,0025955,dine-in,HKI002
2023-01-04 19:28,0025956,dine-in,HKI002
2023-01-04 19:30,0025957,dine-in,HKI002
2023-01-04 19:31,0025958,dine-in,HKI002
2023-01-04 19:37,0025959,dine-in,HKI002
2023-01-04 19:49,0025960,dine-in,HKI002
2023-01-04 19:59,0025961,dine-in,HKI002
2023-01-04 20:00,0025962,Wolt,HKI002
2023-01-04 20:19,0025963,dine-in,HKI002
2023-01-04 20:26,0025964,dine-in,HKI002
2023-01-04 20:40,0025965,dine-in,HKI002
2023-01-04 20:41,0025966,Foodora,HKI002
2023-01-04 20:42,0025967,dine-in,HKI002
2023-01-04 20:43,0025968,dine-in,HKI002
2023-01-04 20:44,0025969,dine-in,HKI002
2023-01-04 20:53,0025970,dine-in,HKI002
2023-01-04 21:23,0025971,dine-in,HKI002
2023-01-04 21:27,0025972,dine-in,HKI002
2023-01-04 21:35,0025973,dine-in,HKI002
2023-01-04 21:53,0025974,dine-in,HKI002
2023-01-04 21:55,0025975,dine-in,HKI002
2023-01-04 22:01,0025976,UberEats,HKI002
2023-01-04 22:14,0025977,dine-in,HKI002
2023-01-04 22:19,0025978,dine-in,HKI002
2023-01-04 22:33,0025979,dine-in,HKI002
2023-01-04 22:35,0025980,dine-in,HKI002
2023-01-04 22:36,0025981,dine-in,HKI002
2023-01-04 22:37,0025982,dine-in,HKI002
2023-01-04 22:40,0025983,dine-in,HKI002
2023-01-04 22:46,0025984,dine-in,HKI002
2023-01-05 11:11,0025985,dine-in,HKI002
2023-01-05 11:13,0025986,dine-in,HKI002
2023-01-05 11:15,0025987,UberEats,HKI002
2023-01-05 11:24,0025988,dine-in,HKI002
2023-01-05 11:29,0025989,dine-in,HKI002
2023-01-05 11:33,0025990,dine-in,HKI002
2023-01-05 11:34,0025991,dine-in,HKI002
2023-01-05 11:39,0025992,dine-in,HKI002
2023-01-05 11:41,0025993,dine-in,HKI002
2023-01-05 11:42,0025994,dine-in,HKI002
2023-01-05 11:44,0025995,dine-in,HKI002
2023-01-05 11:47,0025996,dine-in,HKI002
2023-01-05 12:13,0025997,dine-in,HKI002
2023-01-05 12:22,0025998,dine-in,HKI002
2023-01-05 12:30,0025999,dine-in,HKI002
2023-01-05 12:31,0026000,dine-in,HKI002
2023-01-05 12:34,0026001,dine-in,HKI002
2023-01-05 12:43,0026002,UberEats,HKI002
2023-01-05 12:47,0026003,Foodora,HKI002
2023-01-05 12:59,0026004,dine-in,HKI002
2023-01-05 13:00,0026005,dine-in,HKI002
2023-01-05 13:33,0026006,dine-in,HKI002
2023-01-05 13:47,0026007,dine-in,HKI002
2023-01-05 14:11,0026008,dine-in,HKI002
2023-01-05 14:14,0026009,dine-in,HKI002
2023-01-05 14:16,0026010,dine-in,HKI002
2023-01-05 14:27,0026011,dine-in,HKI002
2023-01-05 14:30,0026012,dine-in,HKI002
2023-01-05 15:25,0026013,UberEats,HKI002
2023-01-05 16:08,0026014,dine-in,HKI002
2023-01-05 16:38,0026015,dine-in,HKI002
2023-01-05 16:47,0026016,dine-in,HKI002
2023-01-05 16:54,0026017,dine-in,HKI002
2023-01-05 17:16,0026018,dine-in,HKI002
2023-01-05 17:27,0026019,dine-in,HKI002
2023-01-05 17:47,0026020,dine-in,HKI002
2023-01-05 18:11,0026021,Wolt,HKI002
2023-01-05 18:11,0026022,dine-in,HKI002
2023-01-05 18:22,0026023,Foodora,HKI002
