timestamp,order_no,takeaway,restaurant_id
2023-01-01 11:10,0103535,dine-in,TKU002
2023-01-01 11:15,0103536,dine-in,TKU002
2023-01-01 11:25,0103537,dine-in,TKU002
2023-01-01 11:31,0103538,dine-in,TKU002
2023-01-01 11:32,0103539,dine-in,TKU002
2023-01-01 11:35,0103540,dine-in,TKU002
2023-01-01 11:36,0103541,dine-in,TKU002
2023-01-01 11:39,0103542,dine-in,TKU002
2023-01-01 11:42,0103543,dine-in,TKU002
2023-01-01 11:45,0103544,dine-in,TKU002
2023-01-01 11:57,0103545,dine-in,TKU002
2023-01-01 12:31,0103546,dine-in,TKU002
2023-01-01 12:45,0103547,dine-in,TKU002
2023-01-01 13:00,0103548,dine-in,TKU002
2023-01-01 13:15,0103549,Foodora,TKU002
2023-01-01 13:45,0103550,dine-in,TKU002
2023-01-01 14:00,0103551,dine-in,TKU002
2023-01-01 15:14,0103552,dine-in,TKU002
2023-01-01 15:47,0103553,dine-in,TKU002
2023-01-01 15:52,0103554,dine-in,TKU002
2023-01-01 15:55,0103555,dine-in,TKU002
2023-01-01 16:11,0103556,dine-in,TKU002
2023-01-01 17:08,0103557,dine-in,TKU002
2023-01-01 17:23,0103558,dine-in,TKU002
2023-01-01 18:05,0103559,dine-in,TKU002
2023-01-01 18:29,0103560,Wolt,TKU002
2023-01-01 18:32,0103561,dine-in,TKU002
2023-01-01 18:33,0103562,dine-in,TKU002
2023-01-01 18:38,0103563,dine-in,TKU002
2023-01-01 18:46,0103564,dine-in,TKU002
2023-01-01 18:47,0103565,dine-in,TKU002
2023-01-01 18:48,0103566,dine-in,TKU002
2023-01-01 19:19,0103567,UberEats,TKU002
2023-01-01 19:21,0103568,dine-in,TKU002
2023-01-01 19:29,0103569,dine-in,TKU002
2023-01-01 19:29,0103570,dine-in,TKU002
2023-01-01 19:36,0103571,dine-in,TKU002
2023-01-01 19:43,0103572,dine-in,TKU002
2023-01-01 19:47,0103573,dine-in,TKU002
2023-01-01 19:55,0103574,Wolt,TKU002
2023-01-01 20:01,0103575,dine-in,TKU002
2023-01-01 20:29,0103576,dine-in,TKU002
2023-01-01 20:29,0103577,dine-in,TKU002
2023-01-01 20:34,0103578,dine-in,TKU002
2023-01-01 20:42,0103579,dine-in,TKU002
2023-01-01 20:55,0103580,dine-in,TKU002
2023-01-01 21:15,0103581,dine-in,TKU002
2023-01-01 21:49,0103582,dine-in,TKU002
2023-01-01 21:53,0103583,dine-in,TKU002
2023-01-01 22:12,0103584,dine-in,TKU002
2023-01-01 22:19,0103585,Foodora,TKU002
2023-01-01 22:21,0103586,dine-in,TKU002
2023-01-01 22:27,0103587,dine-in,TKU002
2023-01-01 22:45,0103588,dine-in,TKU002
2023-01-02 11:06,0103589,dine-in,TKU002
2023-01-02 11:14,0103590,dine-in,TKU002
2023-01-02 11:20,0103591,dine-in,TKU002
